,1과 영어,1과 뜻,2과 영어,2과 뜻,3과 영어,3과 뜻,4과 영어,4과 뜻,5과 영어,5과 뜻,6과 영어,6과 뜻,7과 영어,7과 뜻,8과 영어,8과 뜻,9과 영어,9과 뜻,10과 영어,10과 뜻,11과 영어,11과 뜻,12과 영어,12과 뜻,13과 영어,13과 뜻,14과 영어,14과 뜻,15과 영어,15과 뜻,16과 영어,16과 뜻,17과 영어,17과 뜻,18과 영어,18과 뜻,19과 영어,19과 뜻,20과 영어,20과 뜻,21과 영어,21과 뜻,22과 영어,22과 뜻,23과 영어,23과 뜻,24과 영어,24과 뜻,25과 영어,25과 뜻
10,process,"과정, 절차; 처리하다",nutrition,영양; 영양학,behavior,"행동, 태도",federal,"연방의, 연방 정부의; 연방(제)의",cell,세포; 작은 방[칸]; 독방,astronomy,천문학,figure,수치; (중요) 인물; 모습; 도표; 중요하다; 생각[판단]하다,displace,"대신하다, 대체하다; 쫓아내다",impress,"깊은 인상을 주다, 감명을 주다",commission,"위원회; 수수료; 의뢰, 주문; 의뢰하다",profession,"직업, 전문직; (특정 직종) 종사자들",paddle,노를 젓다; 물장구치다; (보트의) 노; 첨벙거리기,exchange,"교환하다, 맞바꾸다; 환전하다; 교환, 교류; 환전; 거래소",surround,둘러싸다; 포위하다,observe,"보다, 관찰하다; (법률 · 규칙 등을) 준수하다",committee,위원회,encourage,"용기를 주다, 격려하다; 장려하다, 권장하다",coverage,(방송 · 신문 등의) 보도; 범위,connect,"잇다, 연결하다; 관련짓다; 접속하다",strip,옷을 벗다; (껍질 등을) 벗기다; 가느다란 조각,notion,"개념, 관념, 생각",governance,"통치, 관리; 통치 방식",ensure,"확실하게 하다, 보장하다",mastery,"숙달, 통달; 지배(력)",propose,"(계획 · 생각을) 제안하다, 제시하다; 작정하다; 청혼하다"
11,distance,"거리, 간격; 먼 곳; (사람 사이의) 거리감; 거리를 두다",community,"지역 사회, 지역 주민; (공통 관심사 등을 공유하는) 공동체",justify,"정당화하다, (언행 등을) 옳다고 하다",species,(생물의) 종(種),glance,흘끗 봄; 흘끗 보다; 훑어보다,interact,"소통하다, 교류하다; 상호작용하다",regulate,"규제하다, 통제하다; 조절하다, 조정하다",derive,"얻다; 기인하다, 유래하다",theoretical,"이론의, 이론적인",structure,"구조; 건축[구조]물; 체계; 구조화하다, 조직하다",inquire,"묻다, 문의하다; 조사하다",chemical,"화학의, 화학적인; 화학물질; 화학제품",sole,"단 하나의, 유일한; 독점적인",satisfy,만족시키다; 충족시키다,ripe,"(과일 등이) 잘 익은, 숙성된; ~하기에 시기가 적합한",mechanism,"(기계) 장치; 방식, 메커니즘; (생물의) 기제(機制), 구조",archive,기록 보관소; 기록 보관소에 보관하다,adapt,"적응하다, 적응시키다; (용도 · 상황에) 맞추다, 조정하다; 각색하다",cheat,부정행위를 하다; 속이다; 사기(꾼),arise,"발생하다, 일어나다",guardian,"보호자, 후견인; 수호자",urban,"도시의, 도회지의",quest,"탐구, 탐색; 추구",contrary,반대의; 반대되는 것,tangible,"분명히 실재하는, 유형(有形)의; 만질 수 있는"
12,notable,"주목할 만한, 중요한, 유명한",statement,"진술, 서술; 성명(서)",portray,"묘사하다, 표현하다; (영화 등에서) 연기하다",infer,"추론하다, 추측하다",disperse,"흩어지다, 흩어지게 하다; 분산시키다",universal,"보편적인, 일반적인; 전 세계적인, 전반적인",commute,통근하다; 통근 (거리),supplement,"보충(물), 보완; 추가 요금; 보충하다",converse,대화를 나누다; 정반대의; 정반대,colleague,동료,trivial,"하찮은, 사소한, 시시한",outlet,"(가스 · 감정 등의) 배출구, 발산 수단; 직판점, 할인점; 콘센트",flesh,"(사람 · 동물의) 살, 살코기; 피부; (과일의) 과육",suburb,"교외, 교외 주택지역",stun,놀라게 하다; 기절시키다,advocate,"지지하다, 옹호하다; 지지자, 옹호자",utilitarian,실용적인; 공리주의의,staple,"주된, 주요한; 스테이플러 침",durable,"내구성이 있는, 오래가는",vigorous,"(논쟁 등이) 활발한, 격렬한; (사람 등이) 혈기 왕성한, 건강한",paste,반죽; (접착용) 풀; (풀로) 붙이다; 붙여 넣다,emphasize,"강조하다, 역설하다; 크게 말하다",arctic,"북극 (지방); 북극의, 북극 지방의; 몹시 추운",makeup,"화장, 분장; 구성; 기질",fragrance,향기; 향수
13,performance,"수행, 이행; 성과, 실적; 공연, 연주",efficacy,"(약이나 치료의) 효험, 효능",situation,"상황, 처지; 위치",deadly,"치명적인; 극도의; 극도로, 지극히",access,"접근(권), 접속; 출입; 액세스; 접근하다",acquaintance,"지인, 아는 사람; 지식",isolate,"격리하다, 고립시키다; 분리하다",collide,"충돌하다, 부딪치다; (의견 등이) 상충하다",international,"국제적인, 국가 간의",transcribe,"필기하다, 받아 적다; 베껴 쓰다; 편곡하다",aspect,"면, 측면; (사물의) 방향",epidemic,"유행병, 전염병; 급속한 확산[유행]",locate,"~의 위치를 찾아내다; (특정 위치에) 두다, 설치하다",soothe,"달래다, 진정시키다; (통증 등을) 완화하다",consistent,"일관된, 한결같은; 일치하는",questionable,"의심스러운, 미심쩍은",phenomenon,현상; 경이로운 것,disguise,"변장하다, 위장하다; 숨기다; 변장, 위장",proportion,"비율, 부분; 균형; 크기, 정도",mold,"거푸집, 틀; 곰팡이; (틀에 넣어) 만들다",remove,"제거하다, 없애다; (옷 등을) 벗다; 해고하다",afloat,물에 뜬; (사업 등이) 빚은 안 질 정도의,atmosphere,"공기, 대기; 분위기, 환경",figurative,비유적인,device,"장치, 장비; 방법, 방책"
14,biological,"생물학의, 생물학적인; 생물체의",continuous,"(끊임없이) 계속되는, 지속적인, 연속적인",athlete,(운동)선수,discourage,"막다, 단념시키다; 용기를 잃게 하다, 낙담시키다",criterion,"표준, 기준, 척도",counsel,"조언하다; 상담하다; 충고, 조언; 변호인",spatial,"공간의, 공간적인",nurture,"보살피다, 양육하다; 육성[양성]하다; 양육, 양성",impair,"손상하다, 악화시키다",disorder,"(신체 기능의) 장애, 질환; 무질서, 혼란",suspect,"의심하다, 혐의를 두다; 짐작하다, 생각하다; 용의자",deposit,"보증금; 예금(액); 퇴적물; 예금하다; 놓다, 두다; 퇴적시키다",stiff,"뻣뻣한, 뻑뻑한; 뻐근한, 결린",deplete,"고갈시키다, 격감시키다",corporation,"(큰 규모의) 기업, 법인",imply,"암시하다, 시사하다; 넌지시 나타내다",disgust,"혐오감을 주다, 역겹게 하다; 혐오감, 역겨움, 메스꺼움",alienate,멀어지게 하다; 소외감을 느끼게 하다,realm,"(지식 · 활동 등의) 영역, 범위; 왕국",guilty,죄책감이 드는; 유죄의,asset,"재산, 자산",misconception,오해,blueprint,"청사진, 설계도, 계획",reproduce,"번식하다; 복사하다; 재생하다, 다시 만들어 내다",particle,"아주 작은 조각, 입자; 미립자"
15,unionism,노동조합주의,facility,"시설, 설비; (기계 등의) 기능, 특징; 재능",enact,"(법을) 제정하다; 상연하다, 연기하다",seemingly,"외견상으로, 겉보기에는; 보아하니",democratic,"민주주의의, 민주적인; 평등한; 민주당의",variation,변화; 변형; 변주곡,advent,"출현, 도래",foster,"촉진하다, 조성하다; 기르다; 보살펴주는",compression,"압축, 압박; (데이터) 압축",index,색인; (물가 등의) 지수; 색인을 만들다; (임금 등을) 물가와 연계시키다,transnational,"초국가적인, 다국적의",esteem,"존경, 존중, 좋은 평판; 존경하다, 존중하다, 좋게 평가하다",evoke,"(감정 · 기억 등을) 일깨우다, 환기하다",prejudice,"편견, 선입관; 편견을 갖게 하다",stubborn,"완고한, 고집스러운; 없애기[다루기] 힘든, 고질적인",impose,"(세금 · 의무 등을) 지우다, 부과하다; 강요하다",revolve,"(축을 중심으로) 돌다, 돌리다, 회전하다, 회전시키다",interplay,상호 작용,diverge,"갈라지다, 나뉘다",shrink,"줄다, 오그라들다; (규모 · 양이) 감소하다; 움츠러들다",molecular,"분자의, 분자로 된",rainforest,열대 우림,airborne,"비행 중인, 공기로 운반되는",intersection,"교차로, 교차 지점",fleeting,"순식간의, 잠깐 동안의"
16,cognitive,"인식의, 인지적인, 인지에 관한",startled,깜짝 놀란,expose,"드러내다, 노출시키다; 폭로하다",communal,"공동의, 공용의; 사회의, 공동체의",analyze,분석하다,toll,통행료; 사상자 수,flip,홱 뒤집다; 톡 던지기; 공중제비,awkward,"난처한, 곤란한; 어색한; 서투른",breakthrough,"돌파구, 큰 발전, 새 발견",overtake,"앞지르다, 능가하다, 추월하다",quarter,4분의 1; 15분; 25센트 동전; 분기; 4등분하다,emigrate,"(타국으로) 이민을 가다, 이주하다",primitive,"원시 사회의, 원시적인; 원시인",shatter,"산산이 부서지다, 산산조각 내다",transaction,"거래, 매매; 처리 (과정)",gigantic,거대한,contour,윤곽; 등고선,correlate,연관성이 있다; 서로 연관시키다,drift,"표류하다, 떠돌다; 이동하다; 퇴적(물); 흐름, 경향",liable,"~하기 쉬운, ~하는 경향이 있는; 책임이 있는",rub,"문지르다, 맞비비다; 문지르기, 비비기",outbreak,"(전쟁 · 질병 등의) 발생, 발발",soar,"급등하다, 치솟다; 날아오르다; 솟아 있다",cram,"밀어 넣다, 잔뜩 들어가다; 벼락치기 공부를 하다",synthetic,"합성의, 인조의; 합성물"
17,limit,"제한하다, 한정하다; 한도, 제한; 한계, 극한",convince,"납득시키다, 확신시키다; 설득하다",participate,"참여하다, 참가하다",compel,"억지로 시키다, 강요하다; (어떤 반응을) 자아내다",typical,"전형적인, 대표적인; 보통의, 일반적인",dedicate,"바치다, 전념하다, 헌신하다; 헌정하다",previous,"이전의, 앞의",conform,"(법 · 규칙 등에) 따르다, 순응하다; ~에 일치하다, 같아지다",option,선택(권); 선택 과목,alert,"기민한, 방심하지 않는, 경계하는; (위험 등을) 알리다; 경계, 경보",purchase,"구입하다, 구매하다; 구입, 구매; 구입품",accustomed,익숙한; 평소의,majority,"대부분, 다수",criticize,"비판하다, 비난하다",expert,"전문가; 전문적인, 숙련된; 전문가의",pesticide,"농약, 살충제",realize,"깨닫다, 인식하다; 실현하다, 달성하다",viewpoint,"관점, 시각",shift,"변화; 교대 근무; 옮기다, 바꾸다; (의견 등이) 바뀌다",executive,"(회사의) 경영진, 간부; 행정부; 경영의, 간부의",spread,"확산되다, 퍼뜨리다; 펼치다; 펴 바르다; 확산, 전파",precede,"~보다 먼저 일어나다, 선행하다; ~ 앞에 가다",confront,(문제 · 어려움 등에) 직면하다; 맞서다,devastate,"황폐시키다, 완전히 파괴하다; 엄청난 충격을 주다",donate,"기부하다, 기증하다"
18,incline,"(마음이) 기울게 하다, 기울다; 경사지다; 경사, 비탈",challenge,"도전, 난제; (권위 등에 대한) 이의, 도전; 도전하다, (경쟁을) 걸다; ~에 이의를 제기하다",incident,"일어난 일, 사건",resource,"자원; 자산, 자료",statistic,통계; 통계학,associate,"연상하다, 관련 짓다; 어울리다, 교제하다; 동료",exclusive,"독점적인; 배타적인; 고급의, 고가의; ~을 제외하고; 독점 기사",depend,"의존하다, 의지하다; ~에 달려있다",semester,학기,struggle,"애쓰다, 분투하다; 싸우다; 노력, 분투; 싸움",implement,"이행하다, 실행하다; 도구, 용구",copyright,저작권; 저작권 보호를 받는; 저작권으로 보호하다,sequence,"순서, 차례; 연속, 연속적인 사건들; 후속되는 결과",fuel,"연료; 연료를 공급하다; 부추기다, 부채질하다",reunion,"재회 모임, 동창회; 재결합, 재통합",construct,건설하다; 구성하다,sensation,"감각, 느낌; 센세이션, 선풍적인 관심",article,"글, 기사; 물품, 품목; (조약 · 계약 등의) 조항",aural,청각의,eventually,"결국, 마침내",wound,"상처, 부상; 상처를 입히다; 감정을 상하게 하다",desire,"바람, 욕구, 열망; 바라다, 원하다",primate,영장류,philosophy,"철학; 인생관, 인생 철학",tame,"길들이다, 다스리다; 길들여진"
19,appliance,"가정용 기기, 가전제품",reasonable,"타당한, 합리적인; 적당한, 비싸지 않은; 꽤 괜찮은",speculate,"추측하다, 짐작하다; 투기하다",paradigm,"전형적인 예, 패러다임",slippery,미끄러운; 파악하기 힘든,withdraw,"탈퇴하다, 물러나다, 철수하다; 철회[취소]하다; (돈을) 인출하다",misbehavior,"버릇없는 태도, 불량한 행동",aggressive,공격적인; (원하는 것을 이루기 위해) 매우 적극적인,penetrate,"뚫고 들어가다, 관통하다; (적진 등에) 침투하다",linguistic,언어의; 언어학의,excavate,"발굴하다; 파다, 파내다",distinctive,"독특한, 구별되는",imperative,"필수의, 반드시 해야 하는; (태도가) 명령적인; 긴급한 일; 명령",geology,지질학,warranty,보증서,chronic,만성적인,posture,"자세, 태도",ecology,생태(계); 생태학,foe,"적(敵), 상대",resume,"재개하다, 다시 시작하다; 다시 돌아가다; 이력서",stroll,"거닐다, 산책하다; (한가로이) 거닐기, 산책",vanish,사라지다,mischievous,"짓궂은, 말썽꾸러기의; 악의 있는",hatch,"부화하다, 부화시키다; (음모 · 계획 등을) 꾸미다; 출입구",coexist,"동시에 존재하다, 공존하다"
20,organism,"생물, 미생물, 유기체; 유기적 조직체",defect,"결함, 결점",prescribe,(의사가 약을) 처방하다; 규정하다,formulate,"(세심하게) 만들어내다; (명확하게) 표현하다, 진술하다",inevitable,"피할 수 없는, 필연적인",equity,"공평, 공정",misleading,"호도[오도]하는, 잘못된 정보[인상]를 주는",token,"(화폐 대용의) 토큰; 징표, 상징",division,분할; 분열; 분과; 나눗셈,gravity,"중력; 심각성, 중대성",squeeze,"꽉 짜다, 짜내다; 밀어 넣다, 집어넣다; 꽉 쥐기; (재정적인) 압박",anonymously,익명으로,vivid,"생생한; 선명한, 강렬한",novelty,"새로움, 참신함; 새로운 것",uncover,"덮개를 벗기다, 뚜껑을 열다; (비밀 등을) 알아내다",oversee,(작업을) 감독하다,curse,욕; 저주; 욕하다; 저주하다,cosmopolitan,"세계적인, 국제적인; 범세계주의자",favorable,호의적인; 유리한,gratitude,"고마움, 감사, 감사하는 마음",discourse,"담론, 담화",tuck,"밀어 넣다, 집어넣다; 끼워 넣다",constraint,"강제, 제약, 속박",reframe,다시 구성하다; 사진을 새로운 액자에 넣다,equate,동일시하다
